TM pars,Description,TM Frame,Byte Offset,Bit Offset,Width,Occurrences
Frame,TMFrame Number,0,3,0,8,31
R318,H/C HOT BB TEMP 1,0,10,0,8,2
E610,EDA1 R/PLS 3-104,0,18,0,1,1
E611,EDA1 EARTH PLS,0,18,1,1,1
P101,MAIN BUS VOLT,1,10,0,8,2
S660,SIC1 MEM ML 3-110,1,16,0,1,1
S661,B0 SIC1 CL 4-000,1,16,1,1,1
S662,DCO SIC1 ML 3-014,1,16,2,1,1
S663,LID SIC1 ML 3-012,1,16,3,1,1
S664,UT SIC1 ML 3-006,1,16,4,1,1
S665,LT SIC1 ML 3-011,1,16,5,1,1
S666,SYNC MODE SIC1,1,16,6,1,1
S667,COOLER POS SIC1,1,16,7,1,1
S668,SUN/EARTH SIC1,1,17,0,1,1
S669,BURST/MEM SIC1,1,17,1,1,1
P102,BAT 1 VOLT,1,26,0,8,2
R313,COOLER TEMP 1,2,10,0,8,2
P203,BCR1 CUR,2,22,0,8,1
R314,COOLER TEMP 2,2,26,0,8,2
R110,WV 1 OFFSET,3,10,0,8,2
R308,1ST MIRROR TEMP,3,26,0,8,2
P217,SAG CURRENT,4,6,0,8,1
R319,H/C HOT BB TEMP 2,4,10,0,8,2
P112,BAT 2 VOLT,5,6,0,8,1
R307,2ND MIRROR TEMP,5,10,0,8,2
R311,TEL STRUC TEMP,5,26,0,8,2
S150,SIC CV +12.5 V,5,30,0,8,1
P214,BDR2 CUR,6,6,0,8,1
R310,SCAN MECHANISM TEMP,6,10,0,8,2
R201,RAD Current,6,14,0,8,1
P303,SHUNT RES TEMP 1,6,22,0,8,1
R305,COLD BB TEMP 3,6,26,0,8,2
P213,BCR2 CUR,7,6,0,8,1
R109,IR 2 OFFSET,7,10,0,8,2
R111,WV 2 OFFSET,7,26,0,8,2
P312,BAT2 INT TEMP,8,6,0,8,1
R320,H/C HOT BB TEMP 3,8,10,0,8,2
P113,BAT2 1-4 VOLT,9,6,0,8,1
P202,SHUNT REG CUR,9,10,0,8,2
P604,28V AUX BUS,9,16,1,1,1
P614,RAD PYRO ARM A,9,17,0,1,1
P611,ABMF ARM B,9,17,1,1,1
P620,BAT UV PROT,9,17,4,1,1
P201,MAIN BUS CUR,9,26,0,8,2
P114,BAT2 5-8 VOLT,10,6,0,8,1
R304,COLD BB TEMP 2,10,10,0,8,2
R647,SSH + PA HTR,10,16,1,1,1
P630,SECOND AUX BUS,10,16,2,1,1
P610,ABMF ARM A,10,17,0,1,1
P615,RAD PYRO ARM B,10,17,1,1,1
R646,RAD OC PROT,10,17,2,1,1
E620,EDA2 R/PLS 3-042,10,18,0,1,1
E621,EDA2 EARTH PLS,10,18,1,1,1
R303,COLD BB TEMP 1,10,26,0,8,2
P115,BAT2 9-12 VOLT,11,6,0,8,1
P107,REG LOOP VOLT,11,10,0,8,2
P103,BAT1 1-4 VOLT,11,22,0,8,1
R306,SUNSHIELD TEMP,11,26,0,8,2
P116,BAT2 13-16 VOLT,12,6,0,8,1
R302,IR TEMP 2,13,10,0,8,2
P105,BAT1 9-12 VOLT,13,22,0,8,1
R301,IR TEMP 1,13,26,0,8,1
R112,2ND STAGE HTR NOM,14,6,0,8,1
R309,STRUC TEMP (CON),14,10,0,8,2
S250,SIC CURRENT,14,14,0,8,1
P302,BAT1 INT TEMP,14,22,0,8,1
